feature,importance
velocity_zscore,552.3409760730295
velocity_pct_change_1,432.0077740693701
velocity_roll_mean_3,414.39518146206575
velocity_roll_max_3,401.70784717994155
seg_vel_median,389.3447904858121
seg_vel_mean,388.34797426862
seg_vel_q75,358.0117337449587
velocity_roll_min_3,356.024850906781
neighbor_avg_vc,351.67007545715524
node_density_500m,331.0015832660727
delta_lat,316.667965044704
street_name_enc,311.33451323873584
seg_vel_max,309.0036869581126
neighbor_max_vc,306.001780762206
velocity_diff_1,294.0058917284139
seg_vel_std,292.66932439179413
segment_bearing_deg,291.3346550099391
delta_long,290.6680035097037
seg_vel_q25,286.67752279569385
neighbor_min_vc,278.33517092781534
hist_vel_mean,276.67135602841927
velocity_lag_1,276.3385566011312
velocity_lag_2,273.0039867430148
seg_vel_iqr,270.33622640297096
long_snode,265.00191272932733
seg_vel_cv,262.33690440778065
lat_snode,260.00177725665384
seg_vel_count,227.00219475314205
nearest_node_dist_4,218.00125900185506
nearest_node_dist_0,214.33450643989514
velocity_roll_mean_6,209.3601699715623
velocity_diff_3,209.00275347074668
velocity_roll_std_3,203.0056142460799
nearest_node_dist_2,195.33446174667324
delay_ratio,194.33481953924397
seg_vel_min,189.0046074087552
nearest_node_dist_3,187.00120416598654
length_x_vc,185.00123009058981
hist_vel_max,181.66970189389778
nearest_node_dist_1,175.33444647921473
velocity_roll_std_6,159.33790333438338
hist_vel_std,157.66849212559978
vc_x_weekday,155.66917043293458
period_enc,153.3366447781991
dayofyear,152.00985141190804
travel_time_actual,148.33443297271813
capacity_proxy,147.6677791411447
lat_enode,146.0020140493726
velocity_roll_max_6,144.35058783901158
day,143.35618407190506
velocity_roll_std_12,137.6709755091541
vc_x_hour,137.6697580186458
velocity_roll_mean_12,136.01594640044172
long_enode,136.0018481892724
vc_x_lanes,131.66824458165317
velocity_roll_min_6,129.01216228085323
level_x_length,126.66766854957928
avg_dist_to_k_nodes,122.66777892737628
hist_vel_min,117.00353606588813
delay_per_meter,108.00212966993679
travel_time_index,107.6685359768709
velocity_lag_6,102.33452720775982
velocity_roll_mean_24,100.01784742366802
capacity_per_meter,97.66773846124501
velocity_roll_std_24,97.00365901625649
dayofyear_sin,93.68322155040435
velocity_lag_3,89.33450441121842
seg_weekday_count,88.0014586409723
period_minutes_of_day,87.67852924926778
hour_sin,87.66833566179805
neighbor_count,86.00096909162893
velocity_roll_max_12,84.0136768498618
velocity_roll_min_12,84.00705306999737
hour_cos,79.33735387037446
seg_max_velocity,75.33629250623896
midpoint_lat,64.00203702772778
vc_ratio,63.002188610520015
midpoint_long,62.334934516585975
length,59.66767915102471
period_hour,58.67031208236508
max_velocity,56.00251783407371
hist_vel_last,55.33686701664516
length_haversine_km,50.66766163444686
end_degree_y,48.66728180031964
travel_time_free_flow,48.33429375090859
street_type_enc,47.33452531345272
weekday,46.67028818531251
seg_period_count,45.667207701014014
weekday_sin,43.33431795666031
velocity_roll_max_24,39.67793073763349
velocity_roll_min_24,38.341089703953045
weekday_cos,37.00344329814559
velocity_lag_12,36.33418021625074
speed_limit_category_enc,34.001367250796086
period_minute,31.667543085770003
month,29.35066196971205
node_degree_x,26.334041674131182
street_level,25.667774588451334
month_sin,24.341839652145016
quarter,14.669403297459292
hist_vel_std_norm,14.668077644504983
street_priority,14.00129117157244
velocity_lag_24,14.000437179388326
rush_x_priority,11.667098339134993
time_of_day_cat_enc,11.336174779531666
end_degree_x,11.333974501326749
time_of_day_enc,11.333936720906356
street_catalog_type_enc,9.667578784328514
start_degree_x,9.667253622879926
is_lunch,6.000568881333305
dayofyear_cos,4.676578014602471
weekend_x_rush,4.00021445484066
month_cos,3.668496754772993
is_morning_rush,3.000342276063105
est_lane_count,2.3337922154295554
weekofyear,2.0123206033810965
is_night,1.3344856031629142
season_enc,1.333437236433533
is_intersection,1.33340904898958
is_weekend,0.6679427235463228
is_working_hours,0.6676158071995126
velocity_anomaly,0.33374026508990023
is_4way,0.33366237534384396
is_rush_hour,0.33362654869389763
is_evening_rush,0.3335625894057254
period_minutes_of_day_norm,0.018666241014471816
hist_vel_mean_norm,0.005741261758872622
hist_vel_max_norm,0.0035788534770309576
period_hour_norm,0.0033969886762876974
hist_vel_min_norm,0.002941867283743916
max_velocity_norm,0.0028094122262541945
hist_vel_last_norm,0.002526477256971443
street_catalog_level,0.0013358586920121426
seg_street_level,0.0011748980301991626
max_dist_to_k_nodes,0.0011058401596456505
length_norm,0.0010922138758570994
min_dist_to_node,0.0010375452325236609
seg_length,0.0010038502145064876
level_x_length_log,0.0008890991874472677
node_degree_norm,0.0004956073535171996
node_degree_y,0.0004810324689396401
start_degree_y,0.0004141101063598698
end_degree_norm,0.0004132028186568037
start_degree_norm,0.000404063244540386
street_level_norm,0.000350019713080401
is_dead_end,0.0
is_tet,0.0
is_holiday,0.0
year,0.0
